,blocknumber,contracthash,ethprice,fromaddress,timestamp,toaddress,tokenid,tokenuri,transactionhash,running_sell_count,running_whale_weight,loop_id,collection name
18219,13254629,0x1CB1A5e65610AEFF2551A50f76a87a7d3fB649C6,1.69,0xbec69dfce4c1fa8b7843fee1ca85788d84a86b06,2021-09-19,0x49c3feafddaefc3bed06f4ff87ce86610c2c1076,4534,ipfs://QmWEFSMku6yGLQ9TQr66HjSd9kay8ZDYKbBEfjNi4pLtrr/4534,0xe40ad5cb62fbb5b8ce5c056262645a55158c4154b248467f43e1b441f12ac08f,5.0,5.0,CRYPTOAD132,cryptoad
20328,13226328,0x1CB1A5e65610AEFF2551A50f76a87a7d3fB649C6,3.5,0x1434a8eaa6d3725d44984d674e4f2dd9cc472bf4,2021-09-14,0xbec69dfce4c1fa8b7843fee1ca85788d84a86b06,2040,ipfs://QmWEFSMku6yGLQ9TQr66HjSd9kay8ZDYKbBEfjNi4pLtrr/2040,0xfe91482ff76a2e0b9f04c3e0c40f7361ab1c913465b71d079a416e5000771715,3.0,3.0,CRYPTOAD132,cryptoad
5251,13196095,0x1CB1A5e65610AEFF2551A50f76a87a7d3fB649C6,0.89,0x343f43f69b26f44cfc1206e5b11bc0bfb3a1188a,2021-09-10,0x49c3feafddaefc3bed06f4ff87ce86610c2c1076,629,ipfs://QmWEFSMku6yGLQ9TQr66HjSd9kay8ZDYKbBEfjNi4pLtrr/629,0x41e6fd69e5c778438ef0a33bfb4c79d5450e206de569501a2b3c7daddab0539a,4.0,4.0,CRYPTOAD138,cryptoad
6518,13188574,0x1CB1A5e65610AEFF2551A50f76a87a7d3fB649C6,0.16,0x113d754ff2e6ca9fd6ab51932493e4f9dabdf596,2021-09-09,0x343f43f69b26f44cfc1206e5b11bc0bfb3a1188a,5674,ipfs://QmWEFSMku6yGLQ9TQr66HjSd9kay8ZDYKbBEfjNi4pLtrr/5674,0x5203e4463f6641f29ea02a1dde09e198958cd7aad918a79ee6eb85adbc0f6247,2.0,2.0,CRYPTOAD138,cryptoad
7269,13188690,0x1CB1A5e65610AEFF2551A50f76a87a7d3fB649C6,0.16,0x113d754ff2e6ca9fd6ab51932493e4f9dabdf596,2021-09-09,0x36ab75710650754c32e4850d2ad050849ebb5899,1193,ipfs://QmWEFSMku6yGLQ9TQr66HjSd9kay8ZDYKbBEfjNi4pLtrr/1193,0x5b03faa455c5ed7216645cde8e44686a95a8653990edc3d0f5a79b5ceb0fa0c5,2.0,2.0,CRYPTOAD139,cryptoad
3127,13190412,0x1CB1A5e65610AEFF2551A50f76a87a7d3fB649C6,0.82,0x36ab75710650754c32e4850d2ad050849ebb5899,2021-09-09,0x49c3feafddaefc3bed06f4ff87ce86610c2c1076,5408,ipfs://QmWEFSMku6yGLQ9TQr66HjSd9kay8ZDYKbBEfjNi4pLtrr/5408,0x2804e9a478546ecb0f7f45b0ca5c9b97a615347939346746d444b39e669b1dce,2.0,2.0,CRYPTOAD139,cryptoad
9369,13189730,0x1CB1A5e65610AEFF2551A50f76a87a7d3fB649C6,0.37,0xda5e7ad08a42075f72c3921d9e01e73ff538fd95,2021-09-09,0x49c3feafddaefc3bed06f4ff87ce86610c2c1076,4946,ipfs://QmWEFSMku6yGLQ9TQr66HjSd9kay8ZDYKbBEfjNi4pLtrr/4946,0x7509b5839fe3194f62a2a2a6a71116f9f4d1116f45bd4753ab3ac59e4142c51b,1.0,1.0,CRYPTOAD141,cryptoad
14564,13189011,0x1CB1A5e65610AEFF2551A50f76a87a7d3fB649C6,0.22,0x113d754ff2e6ca9fd6ab51932493e4f9dabdf596,2021-09-09,0xda5e7ad08a42075f72c3921d9e01e73ff538fd95,5672,ipfs://QmWEFSMku6yGLQ9TQr66HjSd9kay8ZDYKbBEfjNi4pLtrr/5672,0xb63bfdc028157aaec97495adcd0d0972420c1a176f1abdbaec0f232960649234,2.0,2.0,CRYPTOAD141,cryptoad
3611,13199494,0x1CB1A5e65610AEFF2551A50f76a87a7d3fB649C6,0.7,0x621ade4fa795f4cf18f713a98961271bbd540611,2021-09-10,0x49c3feafddaefc3bed06f4ff87ce86610c2c1076,4090,ipfs://QmWEFSMku6yGLQ9TQr66HjSd9kay8ZDYKbBEfjNi4pLtrr/4090,0x2e20e5a05013230a0c22215cc905c28924d02c39bef37a9ee6047796cfe8b273,4.0,4.0,CRYPTOAD143,cryptoad
926,13189300,0x1CB1A5e65610AEFF2551A50f76a87a7d3fB649C6,0.44,0x49c3feafddaefc3bed06f4ff87ce86610c2c1076,2021-09-09,0x621ade4fa795f4cf18f713a98961271bbd540611,4090,ipfs://QmWEFSMku6yGLQ9TQr66HjSd9kay8ZDYKbBEfjNi4pLtrr/4090,0x0bf8ec17465c6080a62abea75ac10fd4541e267a11cfc2b879cdc76939227678,2.0,2.0,CRYPTOAD143,cryptoad
18219,13254629,0x1CB1A5e65610AEFF2551A50f76a87a7d3fB649C6,1.69,0xbec69dfce4c1fa8b7843fee1ca85788d84a86b06,2021-09-19,0x49c3feafddaefc3bed06f4ff87ce86610c2c1076,4534,ipfs://QmWEFSMku6yGLQ9TQr66HjSd9kay8ZDYKbBEfjNi4pLtrr/4534,0xe40ad5cb62fbb5b8ce5c056262645a55158c4154b248467f43e1b441f12ac08f,5.0,5.0,CRYPTOAD144,cryptoad
20328,13226328,0x1CB1A5e65610AEFF2551A50f76a87a7d3fB649C6,3.5,0x1434a8eaa6d3725d44984d674e4f2dd9cc472bf4,2021-09-14,0xbec69dfce4c1fa8b7843fee1ca85788d84a86b06,2040,ipfs://QmWEFSMku6yGLQ9TQr66HjSd9kay8ZDYKbBEfjNi4pLtrr/2040,0xfe91482ff76a2e0b9f04c3e0c40f7361ab1c913465b71d079a416e5000771715,3.0,3.0,CRYPTOAD144,cryptoad
11126,13195497,0x1CB1A5e65610AEFF2551A50f76a87a7d3fB649C6,0.72,0x393c2e032288b996c901ef207ccdf1431c3283d0,2021-09-10,0x49c3feafddaefc3bed06f4ff87ce86610c2c1076,3835,ipfs://QmWEFSMku6yGLQ9TQr66HjSd9kay8ZDYKbBEfjNi4pLtrr/3835,0x8b4b4b959966e48b462a05cf18a525c7c5e5f103a4c47cef929f1dc06e51ff5d,4.0,4.0,CRYPTOAD150,cryptoad
13557,13192886,0x1CB1A5e65610AEFF2551A50f76a87a7d3fB649C6,0.94,0x49c3feafddaefc3bed06f4ff87ce86610c2c1076,2021-09-09,0x393c2e032288b996c901ef207ccdf1431c3283d0,2195,ipfs://QmWEFSMku6yGLQ9TQr66HjSd9kay8ZDYKbBEfjNi4pLtrr/2195,0xaaa1c7489be98a111762e4fe305171eca8d8ae5bda7f8542b96083df9d2595a0,2.0,2.0,CRYPTOAD150,cryptoad
19196,13189338,0x1CB1A5e65610AEFF2551A50f76a87a7d3fB649C6,0.45,0x85bb21414e7e87856c4f4e074f5122839acf19e5,2021-09-09,0x62bdc64a14405e797f86796ea3c2476209ee0bf9,3525,ipfs://QmWEFSMku6yGLQ9TQr66HjSd9kay8ZDYKbBEfjNi4pLtrr/3525,0xefe551f9d1a21413826c76daad723563e0eef90abc607468cfe1fcb5d6d8269c,7.0,7.0,CRYPTOAD151,cryptoad
12799,13189741,0x1CB1A5e65610AEFF2551A50f76a87a7d3fB649C6,0.38,0x62bdc64a14405e797f86796ea3c2476209ee0bf9,2021-09-09,0x49c3feafddaefc3bed06f4ff87ce86610c2c1076,427,ipfs://QmWEFSMku6yGLQ9TQr66HjSd9kay8ZDYKbBEfjNi4pLtrr/427,0xa0b074abf013dc01f37a6612fbc29270a15cbb43bc42700efc3c0b2b3a9cc7c5,6.0,6.0,CRYPTOAD151,cryptoad
5385,13189503,0x1CB1A5e65610AEFF2551A50f76a87a7d3fB649C6,0.88,0x49c3feafddaefc3bed06f4ff87ce86610c2c1076,2021-09-09,0x85bb21414e7e87856c4f4e074f5122839acf19e5,2196,ipfs://QmWEFSMku6yGLQ9TQr66HjSd9kay8ZDYKbBEfjNi4pLtrr/2196,0x43c37390c46ebf287385f964c712641a7fa51797fc0b43a47b849f509b0ad5ff,2.0,2.0,CRYPTOAD151,cryptoad
13049,13193276,0x1CB1A5e65610AEFF2551A50f76a87a7d3fB649C6,1.2,0x3a37a4d9d20c99060e19b066c11aca292dedfa35,2021-09-09,0xbff5153f71126c15d48326e919bb2d4f57d958cb,3300,ipfs://QmWEFSMku6yGLQ9TQr66HjSd9kay8ZDYKbBEfjNi4pLtrr/3300,0xa3e101f57a649bc5a9f098f8daccdf428befb2a8fb81f4ba6c04591d77a67f21,2.0,2.0,CRYPTOAD153,cryptoad
14742,13189214,0x1CB1A5e65610AEFF2551A50f76a87a7d3fB649C6,0.4,0x49c3feafddaefc3bed06f4ff87ce86610c2c1076,2021-09-09,0x3a37a4d9d20c99060e19b066c11aca292dedfa35,4087,ipfs://QmWEFSMku6yGLQ9TQr66HjSd9kay8ZDYKbBEfjNi4pLtrr/4087,0xb84e7b2748414b2bb3a3d7d875a23cec6e551903dac63d984b036142f3a648df,1.0,1.0,CRYPTOAD153,cryptoad
20381,13189343,0x1CB1A5e65610AEFF2551A50f76a87a7d3fB649C6,2.0,0xbff5153f71126c15d48326e919bb2d4f57d958cb,2021-09-09,0x49c3feafddaefc3bed06f4ff87ce86610c2c1076,5133,ipfs://QmWEFSMku6yGLQ9TQr66HjSd9kay8ZDYKbBEfjNi4pLtrr/5133,0xff32c77507d6ff0c6bc7f10c61ebbc45f5b76740615352a48c1e40111ec283a4,3.0,3.0,CRYPTOAD153,cryptoad
10447,13355920,0x1CB1A5e65610AEFF2551A50f76a87a7d3fB649C6,14.5,0x009988ff77eeaa00051238ee32c48f10a174933e,2021-10-05,0x8f8b4759dc93ca55bd6997df719f20f581f10f5c,4516,ipfs://QmWEFSMku6yGLQ9TQr66HjSd9kay8ZDYKbBEfjNi4pLtrr/4516,0x82c04d07b3045a676baaff08e2d2cc67081008c0bb82214e7ffee458823c8093,2.0,2.0,CRYPTOAD158,cryptoad
15152,13323339,0x1CB1A5e65610AEFF2551A50f76a87a7d3fB649C6,4.24,0x1434a8eaa6d3725d44984d674e4f2dd9cc472bf4,2021-09-29,0x009988ff77eeaa00051238ee32c48f10a174933e,5138,ipfs://QmWEFSMku6yGLQ9TQr66HjSd9kay8ZDYKbBEfjNi4pLtrr/5138,0xbdc381f422b9d4f46b5e29e2571c184629d4b4ad48a6b45e4d745f84e50cb9a2,7.0,7.0,CRYPTOAD158,cryptoad
19345,13323391,0x1CB1A5e65610AEFF2551A50f76a87a7d3fB649C6,5.77,0x1434a8eaa6d3725d44984d674e4f2dd9cc472bf4,2021-09-29,0x009988ff77eeaa00051238ee32c48f10a174933e,4516,ipfs://QmWEFSMku6yGLQ9TQr66HjSd9kay8ZDYKbBEfjNi4pLtrr/4516,0xf17bf8e130712a7d4164bf96235e421171b6ec1ab856b9f3f8ef0465d7e6f8e3,4.0,4.0,CRYPTOAD159,cryptoad
10447,13355920,0x1CB1A5e65610AEFF2551A50f76a87a7d3fB649C6,14.5,0x009988ff77eeaa00051238ee32c48f10a174933e,2021-10-05,0x8f8b4759dc93ca55bd6997df719f20f581f10f5c,4516,ipfs://QmWEFSMku6yGLQ9TQr66HjSd9kay8ZDYKbBEfjNi4pLtrr/4516,0x82c04d07b3045a676baaff08e2d2cc67081008c0bb82214e7ffee458823c8093,2.0,2.0,CRYPTOAD159,cryptoad
8212,13312385,0x1CB1A5e65610AEFF2551A50f76a87a7d3fB649C6,4.2069,0x1434a8eaa6d3725d44984d674e4f2dd9cc472bf4,2021-09-28,0x009988ff77eeaa00051238ee32c48f10a174933e,5499,ipfs://QmWEFSMku6yGLQ9TQr66HjSd9kay8ZDYKbBEfjNi4pLtrr/5499,0x675ae6f9ccf6621664649de1603ba0ea9391d305897ec35119481b6a26f31a84,2.0,2.0,CRYPTOAD160,cryptoad
10447,13355920,0x1CB1A5e65610AEFF2551A50f76a87a7d3fB649C6,14.5,0x009988ff77eeaa00051238ee32c48f10a174933e,2021-10-05,0x8f8b4759dc93ca55bd6997df719f20f581f10f5c,4516,ipfs://QmWEFSMku6yGLQ9TQr66HjSd9kay8ZDYKbBEfjNi4pLtrr/4516,0x82c04d07b3045a676baaff08e2d2cc67081008c0bb82214e7ffee458823c8093,2.0,2.0,CRYPTOAD160,cryptoad
