,loopid,fromaddress,toaddress,tokenid,ethprice,date,transhash
581,PUNK1144,0x577eBC5De943e35cdf9ECb5BbE1f7D7CB6c7C647,0xDDFdcB21c935e8432A559cF689c83695b27A4177,1902,11.0,2021-02-17,0x0fc230ee9604fc45f3c27968964036a6bb184a3205d34faaaf0ddaa1687f56e4
580,PUNK1144,0xDDFdcB21c935e8432A559cF689c83695b27A4177,0x13816F65bA8195768E6825EB774FD3C6A05a0ac8,9301,19.74,2021-02-21,0x96e139716e1bd2853cdd1930a7d14760c8fdfc0c71b0431cd6ccbe161234e4aa
579,PUNK1144,0x13816F65bA8195768E6825EB774FD3C6A05a0ac8,0x577eBC5De943e35cdf9ECb5BbE1f7D7CB6c7C647,2970,9.72,2021-02-17,0x926bc150580b1657558f0feb97b616f278e6f921441f45fc981124e47a95ad1f
582,PUNK115,0x78B58E4197C04d320a33c582Ecc3e7e885f26A58,0x62bdc64A14405E797f86796Ea3C2476209ee0bf9,3185,54.1,2021-08-23,0x5280562a9efe4b13e08af1e63e63d8b1fbf049feeb1d47041c286fbd2ef27d75
583,PUNK115,0x18eE9CeBCA35D323068e5EDc5B41ffCA11d605B9,0x78B58E4197C04d320a33c582Ecc3e7e885f26A58,6783,64.95,2021-08-23,0xbda17cd5268124767a824e77ec7c3e86be5600c806f0e869dab1d880db2b3657
584,PUNK1168,0x0c1FEefCa0366357b91D58833A1423F12A1e7f2e,0xb6bE4De7F37baE20085d830A28982bE8aD19052b,2937,13.0,2021-02-21,0xdf344d9557875ecda10838a6dbe31881e95d7a9e630abd82ab9add82b7013f02
585,PUNK1168,0xb6bE4De7F37baE20085d830A28982bE8aD19052b,0x0c1FEefCa0366357b91D58833A1423F12A1e7f2e,2937,13.7,2021-02-20,0x9c9d261876190526a4823fbd887b76be6502da0645928ad714583f146707bd7e
586,PUNK1175,0x1919DB36cA2fa2e15F9000fd9CdC2EdCF863E685,0xC40dF87e16339f21fBB2E59FB38bF2A957A16FfD,6632,31.69,2021-07-19,0x8aacdb1356286ffdb35bf5b64d6faa1ccb6b1095ca3bda41f44d449a4290d601
587,PUNK1175,0xBeC69dfcE4c1fA8b7843FEE1Ca85788d84A86B06,0x1919DB36cA2fa2e15F9000fd9CdC2EdCF863E685,2488,32.0,2021-07-24,0x64a2a0cca8d0a7e4201037a0ebbfc5d722485be80a78f2b5c337ef393cf75b19
588,PUNK1176,0xC40dF87e16339f21fBB2E59FB38bF2A957A16FfD,0xBeC69dfcE4c1fA8b7843FEE1Ca85788d84A86B06,8924,20.0,2021-06-16,0xe78e53f8a181245d4638e10970551a1195b538b6a1b951bfea855ef53c90eef2
